ID,Username,Time,Geo,Language,Text,Hashtags,Public_metrics
0,79769567,2022-04-28 08:47:25+00:00,,en,"@secular_girl @perfumeithaki @aimee60221197 @IowaViewer @natachef @s_total_s2 @switches_wow @redflag3rd This read the thread 🧨 
#Ukraine #Syria #war #thursdaymorning https://t.co/54BgTtqVjj","{'thursdaymorning', 'war', 'Syria', 'Ukraine'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1,1062092504,2022-04-28 08:47:25+00:00,,en,"RT @davidalapatt: Zelenskiy visited children who lost their parents during the fighting in Mariupol
#Ukraine #Russia #Russians #RussianWarC…","{'Russians', 'RussianWarC…', 'Russia', 'Ukraine'}","{'retweet_count': 69, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
2,1420498158577242116,2022-04-28 08:47:24+00:00,,de,"#News #Blaulicht POL-KN: (Sulz am Neckar, Lkr. Rottweil) Motorhaube eines geparkten Renaults beschädigt - Polizei bittet um Hinweise (26. - 27.04.2022) - https://t.co/3psmcpUNg9 https://t.co/MdKPwYGOpw","{'Blaulicht', 'News'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
3,567945880,2022-04-28 08:47:23+00:00,,ja,"RT @MoonMoonTweet: 🏭アゾフ製鉄所の地下で立て籠ってる🇺🇦兵は永遠に市民を監禁したまま、生活するつもりなのかな？🤷🏻‍♀️
#Azovstal #Azovstahl #Azov #アゾフ #AzovBattalion #Ukronazis #UkraineAr…","{'UkraineAr…', 'Azovstal', 'Azov', 'Azovstahl', 'アゾフ', 'Ukronazis', 'AzovBattalion'}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
4,696078012845027330,2022-04-28 08:47:23+00:00,,de,"RT @ZStadtfux: Unsere Nationalratspräsidentin macht einen Solidaritätsbesuch in #Kyiv und rechte Männer verlieren die Verfassung.

Selten e…",{'Kyiv'},"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
5,121226825,2022-04-28 08:47:21+00:00,,en,"RT @ejmalrai: Important: A real hit to western sanctions.
#Turkey, a NATO member, is expanding #Russia's payment system, 'MIR', and ensurin…","{""Russia's"", 'Turkey,'}","{'retweet_count': 60, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
6,1430904599817310226,2022-04-28 08:47:21+00:00,,ko,"RT @fantagiomusic_: [#아스트로] 아스트로, 타이틀곡은 '캔디 슈가 팝'…자작곡 포함 높은 참여도
▶ https://t.co/qN0Tgr5SPH

#NEWS #ASTRO
#Drive_to_the_Starry_Road
#CandySug…","{'NEWS', 'ASTRO', 'Drive_to_the_Starry_Road', 'CandySug…'}","{'retweet_count': 2692, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
7,1498718963408293890,2022-04-28 08:47:21+00:00,,ru,"Сегодня президент США Джо Байден выступит с речью в поддержку Украины.

#we_ukraine
#ukraine 
#war 
#украина
#война
#stopwar
#ua
#stoprussian @ Kharkov, Ukraine https://t.co/Eg7EojrkYP","{'stoprussian', 'war', 'ukraine', 'украина', 'we_ukraine', 'ua', 'война', 'stopwar'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
8,890101309,2022-04-28 08:47:20+00:00,,en,"@Nur_ggwp_69 @WhaleEverything @sekuyaofficial @DrStrange 🌹 “We are what we repeatedly do. Excellence, then, is not an act, but a habit.”
— Aristotle

👉 Check out this Moon Project 👇 on 
@sekuyaofficial
#SKUY #SEKUYA #SKUYARMY 
#Crypto
#Binance #Russia #BTC #Metaverse #RussiaUkraineWar #cryptocurrency #NFT 
https://t.co/Pzud6M2cmb","{'cryptocurrency', 'NFT', 'SKUYARMY', 'SKUY', 'Binance', 'BTC', 'Russia', 'SEKUYA', 'Metaverse', 'Crypto', 'RussiaUkraineWar'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
9,1498049001790263300,2022-04-28 08:47:19+00:00,,en,"RT @nexta_tv: ""The #Bosporus Strait remains closed to all non-#Turkish warships, rendering #Russia unable to replace its lost cruiser #Mosk…","{'Mosk…', 'Bosporus', 'Russia'}","{'retweet_count': 100, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
10,270492072,2022-04-28 08:47:18+00:00,,en,Samsung Posts Sharp Rise in Quarterly Profit https://t.co/XEZFOI62aj via WSJ #news #WSJ,"{'news', 'WSJ'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
11,1420498158577242116,2022-04-28 08:47:18+00:00,,de,#News #Blaulicht Innenministerium NRW: Einladung zum Presse- und Fototermin Polizeisportlerehrung NRW 2021/2022 - https://t.co/VBXTjLEIAH https://t.co/xpPdfpPGl3,"{'Blaulicht', 'News'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
12,270492072,2022-04-28 08:47:18+00:00,,en,ESPN Anchor Sage Steele Sues Network https://t.co/oRKIFqJ0yb via WSJ #news #WSJ,"{'news', 'WSJ'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
13,270492072,2022-04-28 08:47:18+00:00,,en,"Whirlpool Expects to Keep Raising Prices, Boosting Capacity https://t.co/xWcXTARCqH via WSJ #news #WSJ","{'news', 'WSJ'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
